from,to,h,prior,n_subnodes,type,name,count
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,8,2
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,9,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,30,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,1,2
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,0,4
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,from_seq,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,invert,2
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,repeat,2
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,append,5
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,delete,2
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,SEQ,cut,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 4) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.827118,22,INT,0,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 4) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.827118,22,INT,1,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 4) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.827118,22,INT,2,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 4) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.827118,22,INT,3,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 4) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.827118,22,INT,4,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 4) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.827118,22,INT,5,0
