from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,1,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,from_seq,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,invert,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,repeat,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,append,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,SEQ,cut,0
